OBJECTID,Geography ID,Geography Type,Name,Percentage of Land With Tree Canopy Coverage (Weighted by Population Size),Shape__Area,Shape__Length
1,csa_city_agoura_hills,Incorporated City,City of Agoura Hills,,217931682.645508,80376.2106904134
2,csa_city_alhambra,Incorporated City,City of Alhambra,4.6,212764011.276367,69016.5015221541
3,csa_city_arcadia,Incorporated City,City of Arcadia,8.7,309696288.938477,132149.401562509
4,csa_city_artesia,Incorporated City,City of Artesia,,45210326.125,40904.9706551111
5,csa_city_azusa,Incorporated City,City of Azusa,5.2,269205013.03125,158881.601593077
6,csa_city_baldwin_park,Incorporated City,City of Baldwin Park,3.9,188966247.648438,87241.4327414296
7,csa_city_bell,Incorporated City,City of Bell,2.2,72979028.1533203,65552.3887578528
8,csa_city_bell_gardens,Incorporated City,City of Bell Gardens,2.9,68721941.4697266,38937.4207874779
9,csa_city_bellflower,Incorporated City,City of Bellflower,2.4,172370845.865234,59306.6452245536
10,csa_city_beverly_hills,Incorporated City,City of Beverly Hills,6.6,159282318.755859,86925.7745809393
11,csa_city_burbank,Incorporated City,City of Burbank,5.6,483502845.646484,102151.39667723
12,csa_city_calabasas,Incorporated City,City of Calabasas,10.1,383613659.699219,149118.592947431
13,csa_city_carson,Incorporated City,City of Carson,2.7,528030737.777344,127677.51129757
14,csa_city_cerritos,Incorporated City,City of Cerritos,5.9,246787948.419922,119808.868298614
15,csa_city_claremont,Incorporated City,City of Claremont,9.7,375456745.78418,150112.204271249
16,csa_city_commerce,Incorporated City,City of Commerce,,182719725.128906,93390.8122905832
17,csa_city_compton,Incorporated City,City of Compton,2.6,281590253.833984,178008.102450657
18,csa_city_covina,Incorporated City,City of Covina,5.3,196344691.882813,186251.134749508
19,csa_city_cudahy,Incorporated City,City of Cudahy,1.3,34266752.8085938,33729.8352374175
20,csa_city_culver_city,Incorporated City,City of Culver City,6.7,143147615.004883,116908.970645141
21,csa_city_downey,Incorporated City,City of Downey,3.9,350371541.479492,90498.3366118423
22,csa_city_duarte,Incorporated City,City of Duarte,6.7,186485252.126953,111724.016609402
23,csa_city_el_monte,Incorporated City,City of El Monte,3.5,268040254.837891,106711.549443552
24,csa_city_el_segundo,Incorporated City,City of El Segundo,,151854294.449219,58347.6116957505
25,csa_city_gardena,Incorporated City,City of Gardena,1.6,163264681.769531,65932.3950959737
26,csa_city_glendale,Incorporated City,City of Glendale,6.3,853230755.385742,190271.343931609
27,csa_city_glendora,Incorporated City,City of Glendora,8.3,547642777.478516,165505.670654358
28,csa_city_hawaiian_gardens,Incorporated City,City of Hawaiian Gardens,,26648816.5429688,25783.8794644505
29,csa_city_hawthorne,Incorporated City,City of Hawthorne,1.1,169585593.317383,110192.664599746
30,csa_city_hermosa_beach,Incorporated City,City of Hermosa Beach,,41501765.1484375,29339.6193505165
31,csa_city_hidden_hills,Incorporated City,City of Hidden Hills,,47048725.8291016,42751.6546627266
32,csa_city_huntington_park,Incorporated City,City of Huntington Park,1.5,84042752.6230469,66385.7853215658
33,csa_city_industry,Incorporated City,City of Industry,,335602039.208984,366510.398353747
34,csa_city_inglewood,Incorporated City,City of Inglewood,3,253622393.695313,90355.3942257997
35,csa_city_irwindale,Incorporated City,City of Irwindale,,268552437.949219,131459.742848378
36,csa_city_la_canada_flintridge,Incorporated City,City of La Canada Flintridge,,241080484.775391,92225.3470752999
37,csa_city_la_habra_heights,Incorporated City,City of La Habra Heights,,171717013.577148,69877.1472887861
38,csa_city_la_mirada,Incorporated City,City of La Mirada,8.1,218800624.400391,79833.8296120329
39,csa_city_la_puente,Incorporated City,City of La Puente,5.7,96842502.2919922,86971.3574392473
40,csa_city_la_verne,Incorporated City,City of La Verne,8.8,237606827.314453,115480.591496628
41,csa_city_lakewood,Incorporated City,City of Lakewood,5.8,263528890.157227,124207.331738586
42,csa_city_lancaster,Incorporated City,City of Lancaster,1.7,2635029511.77344,678436.664903309
43,csa_city_lawndale,Incorporated City,City of Lawndale,1.5,54863707.0722656,36899.7304205015
44,csa_city_lomita,Incorporated City,City of Lomita,3.4,53484538.828125,44939.4236054767
45,csa_city_long_beach,Incorporated City,City of Long Beach,,1443459669.58398,554574.211561579
46,csa_city_lynwood,Incorporated City,City of Lynwood,3.4,135007235.452148,72152.7827898819
47,csa_city_manhattan_beach,Incorporated City,City of Manhattan Beach,5.8,110933646.863281,48539.7715424029
48,csa_city_maywood,Incorporated City,City of Maywood,2.2,32839986.2089844,30088.7702755113
49,csa_city_montebello,Incorporated City,City of Montebello,3.8,233323960.400391,99397.6390770259
50,csa_city_monterey_park,Incorporated City,City of Monterey Park,4.6,215688665.212891,79691.167947583
51,csa_city_norwalk,Incorporated City,City of Norwalk,3.7,272018552.822266,91643.101027171
52,csa_city_palmdale,Incorporated City,City of Palmdale,1.9,2962799242.73145,682806.060207969
53,csa_city_paramount,Incorporated City,City of Paramount,3.1,134398499.347656,67994.9459555497
54,csa_city_pasadena,Incorporated City,City of Pasadena,,644879965.850586,282711.360879318
55,csa_city_pico_rivera,Incorporated City,City of Pico Rivera,4.4,248180730.481445,95367.7009761026
56,csa_city_redondo_beach,Incorporated City,City of Redondo Beach,3.1,173842324.033203,103678.683548515
57,csa_city_rosemead,Incorporated City,City of Rosemead,3.3,144217751.397461,94495.0868413356
58,csa_city_san_dimas,Incorporated City,City of San Dimas,11.3,429685883.255859,170632.370385882
59,csa_city_san_fernando,Incorporated City,City of San Fernando,4.1,66108330.4589844,36548.9232927347
60,csa_city_san_gabriel,Incorporated City,City of San Gabriel,4.8,115211437.180664,96451.896133447
61,csa_city_san_marino,Incorporated City,City of San Marino,,105008644.922852,56678.5792910711
62,csa_city_santa_clarita,Incorporated City,City of Santa Clarita,6.5,2053437651.51758,401512.902907607
63,csa_city_santa_fe_springs,Incorporated City,City of Santa Fe Springs,,247463254.175781,157552.590868578
64,csa_city_santa_monica,Incorporated City,City of Santa Monica,5.2,237691986.479492,65949.9838682262
65,csa_city_sierra_madre,Incorporated City,City of Sierra Madre,,82433009.1474609,40140.5976967933
66,csa_city_signal_hill,Incorporated City,City of Signal Hill,,61065731.1738281,56519.1707093737
67,csa_city_south_el_monte,Incorporated City,City of South El Monte,,79448691.7880859,61966.3504621843
68,csa_city_south_gate,Incorporated City,City of South Gate,3.4,204975048.576172,102610.733571485
69,csa_city_south_pasadena,Incorporated City,City of South Pasadena,14.5,95187401.25,43466.7834242171
70,csa_city_temple_city,Incorporated City,City of Temple City,5.3,112232462.724609,60506.140608474
71,csa_city_torrance,Incorporated City,City of Torrance,4.4,573283827.681641,140225.611106126
72,csa_city_vernon,Incorporated City,City of Vernon,,143639793.239258,84910.4497540594
73,csa_city_walnut,Incorporated City,City of Walnut,9.9,250361037.084961,91589.5513506836
74,csa_city_west_covina,Incorporated City,City of West Covina,7.8,447990104.149414,204531.260436844
75,csa_city_west_hollywood,Incorporated City,City of West Hollywood,4.3,52835243.7685547,57010.5752208896
76,csa_city_westlake_village,Incorporated City,City of Westlake Village,,153379909.563477,64466.7772420738
77,csa_city_whittier,Incorporated City,City of Whittier,9.2,408726582.419922,163420.36224751
78,csa_city_bradbury,Incorporated City,City of Bradbury,,54647076.6416016,38934.9806514622
79,csa_city_monrovia,Incorporated City,City of Monrovia,11.1,382542678.912109,144169.025714183
80,csa_city_diamond_bar,Incorporated City,City of Diamond Bar,11.5,414908041.421875,110699.235551545
81,csa_city_pomona,Incorporated City,City of Pomona,5.9,640980605.088867,163087.713550421
82,csa_city_rancho_palos_verdes,Incorporated City,City of Rancho Palos Verdes,12.3,376913902.945313,206645.359067016
83,csa_city_avalon,Incorporated City,City of Avalon,,80339329.6992188,57467.5745584495
84,csa_city_rolling_hills_estates,Incorporated City,City of Rolling Hills Estates,,100255529.19043,122697.384104138
85,csa_city_rolling_hills,Incorporated City,City of Rolling Hills,,83379640.9677734,48172.7995997127
86,csa_city_palos_verdes_estates,Incorporated City,City of Palos Verdes Estates,,133376180.043945,72485.9946205769
87,csa_city_malibu,Incorporated City,City of Malibu,,549214512.381836,251806.960922499
227,csa_unincorp_acton,Unincorporated Los Angeles County,Unincorporated - Acton,,1747931376.63867,246388.957293646
228,csa_unincorp_agua_dulce,Unincorporated Los Angeles County,Unincorporated - Agua Dulce,,1195019279.49316,217245.8647272
229,csa_unincorp_altadena,Unincorporated Los Angeles County,Unincorporated - Altadena,16,244123866.765625,97879.6252956226
230,csa_unincorp_anaverde,Unincorporated Los Angeles County,Unincorporated - Anaverde,,330519637.831055,97356.2601365622
231,csa_unincorp_angeles_national_forest,Unincorporated Los Angeles County,Unincorporated - Angeles National Forest,,19267413571.8984,949856.800197244
232,csa_unincorp_arcadia,Unincorporated Los Angeles County,Unincorporated - Arcadia,,25328675.9501953,35960.6401911944
233,csa_unincorp_athens_westmont,Unincorporated Los Angeles County,Unincorporated - Athens-Westmont,1.8,88748915.7353516,55016.8206733927
234,csa_unincorp_athens_village,Unincorporated Los Angeles County,Unincorporated - Athens Village,,12568701.3398438,15767.0685987267
235,csa_unincorp_avocado_heights,Unincorporated Los Angeles County,Unincorporated - Avocado Heights,,34588444.8496094,56792.5529476054
236,csa_unincorp_azusa,Unincorporated Los Angeles County,Unincorporated - Azusa,,43848427.7197266,95317.7076229732
237,csa_unincorp_bandini_islands,Unincorporated Los Angeles County,Unincorporated - Bandini Islands,,1337333.31054688,12372.9201273573
238,csa_unincorp_bassett,Unincorporated Los Angeles County,Unincorporated - Bassett,,34401641.2910156,49744.9076505034
239,csa_unincorp_bouquet_canyon,Unincorporated Los Angeles County,Unincorporated - Bouquet Canyon,,778146145.916992,167396.180342317
240,csa_unincorp_bradbury,Unincorporated Los Angeles County,Unincorporated - Bradbury,,822758.62109375,4085.33544644886
241,csa_unincorp_canyon_country,Unincorporated Los Angeles County,Unincorporated - Canyon Country,,165276723.902344,101506.324186141
242,csa_unincorp_castaic,Unincorporated Los Angeles County,Unincorporated - Castaic,3.5,8423094459.53711,578909.092770396
